epoch,accuracy,f1_macro,loss,val_accuracy,val_f1_macro,val_loss
0,0.23733533918857574,0.18001411855220795,2.627380132675171,0.03598200902342796,0.011305845342576504,4.989243984222412
1,0.3118774890899658,0.25689756870269775,2.3144216537475586,0.29035481810569763,0.1965693235397339,2.482677698135376
2,0.35964441299438477,0.30207163095474243,2.1341798305511475,0.36231884360313416,0.2999437749385834,2.061309814453125
3,0.39048945903778076,0.3327089250087738,2.0135653018951416,0.3733133375644684,0.30118629336357117,2.05100679397583
4,0.4262610971927643,0.37543055415153503,1.8926934003829956,0.44877561926841736,0.37059879302978516,1.83172607421875
5,0.459890753030777,0.41004297137260437,1.7889574766159058,0.44327837228775024,0.3803853690624237,1.8475539684295654
6,0.48805826902389526,0.4418809413909912,1.6816002130508423,0.42628684639930725,0.38455867767333984,1.9134716987609863
7,0.5120488405227661,0.4656793773174286,1.6120758056640625,0.49175411462783813,0.44926556944847107,1.7371562719345093
8,0.5259719491004944,0.4830511212348938,1.5369020700454712,0.4612693786621094,0.3801431655883789,1.815500020980835
9,0.5606725811958313,0.5194945931434631,1.4446940422058105,0.5367316603660583,0.49276110529899597,1.5157067775726318
10,0.5714897513389587,0.5312233567237854,1.3975337743759155,0.42328834533691406,0.39090293645858765,2.113607883453369
11,0.58905428647995,0.5501444339752197,1.3390758037567139,0.5367316603660583,0.48208948969841003,1.5152243375778198
12,0.6077969074249268,0.5741161704063416,1.2728906869888306,0.5427286624908447,0.4721240997314453,1.6347042322158813
13,0.6237549781799316,0.5918577313423157,1.2209901809692383,0.43628185987472534,0.3954140245914459,2.3550870418548584
14,0.643675684928894,0.6126195192337036,1.160058856010437,0.5362318754196167,0.4888784885406494,1.5271254777908325
15,0.6637035608291626,0.6341904997825623,1.1029174327850342,0.45877060294151306,0.43891623616218567,1.9945942163467407
16,0.6706650853157043,0.6410711407661438,1.066954493522644,0.5352323651313782,0.49316170811653137,1.6084173917770386
