epoch,accuracy,f1_macro,learning_rate,loss,val_accuracy,val_f1_macro,val_loss
0,0.40987467765808105,0.3581324815750122,0.0010000000474974513,2.0600435733795166,0.6271864175796509,0.5729654431343079,1.2715404033660889
1,0.6187211871147156,0.5813036561012268,0.0010000000474974513,1.2943354845046997,0.693153440952301,0.6511282324790955,1.0489046573638916
2,0.7054728269577026,0.6776320934295654,0.0010000000474974513,0.9914774298667908,0.7181409001350403,0.690636932849884,0.9530316591262817
3,0.7604155540466309,0.7406728267669678,0.0010000000474974513,0.8030794262886047,0.7231384515762329,0.6887722611427307,0.9420706033706665
4,0.8057191967964172,0.7888467907905579,0.0010000000474974513,0.6364364624023438,0.7311344146728516,0.7048938870429993,0.9506739377975464
5,0.8373138904571533,0.8257264494895935,0.0010000000474974513,0.5180766582489014,0.7291354537010193,0.7082700133323669,0.9565246105194092
6,0.9003962874412537,0.892479419708252,0.0005000000237487257,0.3158789873123169,0.7476261854171753,0.7234286665916443,0.9366670846939087
7,0.9255649447441101,0.919579029083252,0.0005000000237487257,0.2364368736743927,0.7571214437484741,0.7316604256629944,0.9571189880371094
8,0.9382028579711914,0.9340436458587646,0.0005000000237487257,0.1941116452217102,0.7466266751289368,0.7201582789421082,1.039945125579834
9,0.9610153436660767,0.9571570754051208,0.0002500000118743628,0.13194388151168823,0.7591204643249512,0.732475757598877,1.038023829460144
