epoch,accuracy,f1_macro,loss,val_accuracy,val_f1_macro,val_loss
0,0.23198029398918152,0.16395901143550873,2.8044936656951904,0.5362318754196167,0.42256298661231995,2.033601760864258
1,0.6503159403800964,0.596188485622406,1.6668477058410645,0.7586206793785095,0.7151288390159607,1.3152790069580078
2,0.8231766223907471,0.7991165518760681,1.1539925336837769,0.8205897212028503,0.7954091429710388,1.1278775930404663
3,0.9153903722763062,0.9031198024749756,0.8980087637901306,0.8175911903381348,0.8043299317359924,1.1061289310455322
4,0.9625146985054016,0.9577734470367432,0.7655757665634155,0.8370814323425293,0.8203758001327515,1.0481154918670654
5,0.9860768914222717,0.9840747714042664,0.6989113092422485,0.8440779447555542,0.8264825344085693,1.028174638748169
6,0.99239581823349,0.9912189841270447,0.6736336946487427,0.8555722236633301,0.8406834602355957,1.0069175958633423
7,0.9975366592407227,0.9973345398902893,0.6563052535057068,0.860069990158081,0.8452709913253784,1.0061413049697876
8,0.9977508783340454,0.9973739981651306,0.6530726552009583,0.8570714592933655,0.8424584865570068,0.9989785552024841
9,0.9985005855560303,0.9982886910438538,0.6498623490333557,0.8595702052116394,0.84477299451828,0.9994141459465027
