epoch,accuracy,f1_macro,loss,val_accuracy,val_f1_macro,val_loss
0,0.1439434438943863,0.0628507137298584,3.1013572216033936,0.21389305591583252,0.09613897651433945,2.7100751399993896
1,0.2144157588481903,0.13426929712295532,2.7245562076568604,0.26736631989479065,0.16320587694644928,2.536609411239624
2,0.255863755941391,0.18382015824317932,2.5741560459136963,0.3148425817489624,0.214117169380188,2.3793787956237793
3,0.2992395758628845,0.2425702065229416,2.4032833576202393,0.32983508706092834,0.23612822592258453,2.300828695297241
4,0.33426153659820557,0.28871047496795654,2.2391605377197266,0.3518240749835968,0.26850882172584534,2.286298990249634
5,0.39048945903778076,0.3555195927619934,2.042092800140381,0.3618190884590149,0.2933475971221924,2.181461811065674
6,0.4454321563243866,0.41581156849861145,1.8448940515518188,0.36681658029556274,0.302410751581192,2.192131996154785
7,0.5031594634056091,0.483466237783432,1.6311067342758179,0.39780110120773315,0.32792046666145325,2.150099515914917
8,0.562171995639801,0.5419601202011108,1.45655357837677,0.3828085958957672,0.33976230025291443,2.1726534366607666
9,0.6009424924850464,0.5827198624610901,1.297474980354309,0.38530734181404114,0.3216385543346405,2.2197909355163574
10,0.640783965587616,0.6256023049354553,1.1729228496551514,0.37231385707855225,0.3195091784000397,2.31599760055542
11,0.6767698526382446,0.6644148826599121,1.0329655408859253,0.3728135824203491,0.31976088881492615,2.4218900203704834
12,0.7086858749389648,0.6951168775558472,0.9366190433502197,0.3763118386268616,0.31774795055389404,2.608322858810425
